Feature,Mean_IC,IC_Std,IC_IR
f111,0.009635140849689645,0.049690837981504095,0.1939017191511007
f250,-0.010577223811298614,0.05477279101789328,-0.19311088012174557
f17,-0.014857542663995962,0.07755134140371761,-0.19158328507585146
f40,-0.016879861488864775,0.0887904758387777,-0.1901088988240764
f293,-0.011865157903009477,0.06344141697600793,-0.18702539442400318
f231,-0.01184337966532333,0.0635581120498065,-0.18633935810819613
f197,-0.01153489068615013,0.06222544544753333,-0.18537253931192213
f165,-0.017026491111526623,0.09250839708111784,-0.18405344604622373
f70,-0.012385316516738345,0.0674941999395412,-0.183501911168864
f233,-0.013550294271149201,0.07391133869054294,-0.1833317144283552
f119,-0.017964229919492498,0.09807904607583652,-0.18316071379808374
f263,0.009893893519040922,0.05460761832374428,0.181181527613403
f286,-0.012931499306370399,0.07159982425368396,-0.1806079502998996
f137,-0.013368339119844632,0.07415522151378151,-0.18027506417210998
f20,-0.015431132302128591,0.08600250249654443,-0.17942652899528505
f95,-0.018195951392551316,0.10225763611975751,-0.1779422085585796
f23,0.01651029664183092,0.09291095134312094,0.17770020246436005
f88,-0.013230996507388399,0.07446545777584423,-0.17767962657827266
f26,0.009528002484890115,0.05387393295936522,0.1768573444137303
f22,-0.010216644413859726,0.05812637013942217,-0.17576605302711162
f209,-0.010776429293443078,0.06138952771381009,-0.17554178928144673
f362,0.014919441188596404,0.08526898717221153,0.17496911753828542
f150,-0.01377236249558631,0.0790272075962973,-0.17427366057528504
f94,-0.00903670254256424,0.05190511410721236,-0.17410039370869293
f358,-0.013072844952510241,0.07514492853880969,-0.17396840301836938
f270,0.008770523758843187,0.050459533468752184,0.17381298275666054
f245,-0.013291567364895524,0.07711918116672545,-0.17235096950330084
f28,-0.01884863659683977,0.1107228204958083,-0.1702326115800782
f200,-0.009558109647514038,0.056905266712693095,-0.1679652608627424
f120,-0.008286045777437814,0.049411576215639,-0.16769438935387268
f16,-0.012904017114133946,0.07773796230263218,-0.16599374452293272
f155,-0.011947815174447393,0.07254809655141181,-0.16468817371519512
f332,-0.013359750087232279,0.08137788565804796,-0.1641692744596186
f57,-0.017471120966026776,0.10674637816929514,-0.163669434307401
f12,-0.011847216227002662,0.07270357645220454,-0.1629522944482394
f369,-0.012502852631415944,0.07725076258404401,-0.1618476063500028
f129,0.0076487332245714365,0.04763167094350858,0.16058079566083075
f290,-0.011709085106965209,0.07408170333080179,-0.1580563485982011
f315,-0.008989648820260033,0.056881857744690276,-0.15804067581974196
f229,0.011688082010874755,0.07443279453707355,0.15702863923464214
f93,0.009196258079820083,0.0591720525762268,0.155415540365409
f51,-0.007787364250263009,0.050498014671224355,-0.154211264717064
f96,0.007624130880273183,0.050051910718066084,0.1523244417176038
f372,-0.014167325090427561,0.09330743103198003,-0.15183489048394197
f279,-0.00754969699349171,0.049955434964334106,-0.1511286106826162
f128,0.011951978468559875,0.07933293286945373,0.15065593228058421
f140,0.00771939282895305,0.0520427514929803,0.14832788667438923
f295,-0.011964446760157843,0.08105781861241157,-0.1476038399371316
f301,-0.00867006206371504,0.059059226706427916,-0.14680281268808548
f107,0.011283480494025382,0.07708698675099313,0.14637333103627514
f291,0.010850482722230896,0.07460438089393669,0.14544026956344666
f162,-0.011120351081574888,0.077555106878633,-0.14338642670060403
f127,0.007227950691266953,0.051193192514458585,0.14118965675619824
f355,0.010784822773675318,0.07658690040101615,0.14081809433498477
f361,-0.011713788652816989,0.08380018273382894,-0.13978235933207228
f72,-0.012557326897804772,0.09054310219998364,-0.13868892500700944
f174,-0.006957603835847657,0.050419011731362616,-0.13799561349917572
f83,0.008739232794459994,0.06371613360920998,0.1371588470272197
f316,-0.009749374955543845,0.07112414820780262,-0.13707543542461637
f213,-0.006946734403125149,0.051592619866990326,-0.13464586746274326
f71,0.006751684356797537,0.05047914533907864,0.1337519281264735
f225,-0.008128630201202776,0.06108185076593654,-0.13307764529884558
f338,-0.009948068515171956,0.07718586539121677,-0.1288845720120443
f102,-0.0064046413845354885,0.04974865497665234,-0.12873996493255177
f63,0.008899466219351325,0.06937389712699343,0.12828261500480687
f105,-0.010033181285697,0.07913388391233483,-0.12678740789391507
f205,-0.007672615250628296,0.06064366323162136,-0.1265196324985732
f177,0.0064251843136323905,0.051060763300976066,0.1258340580891588
f308,-0.007356866848664895,0.05874053063073537,-0.12524343102173444
f55,-0.013661436952762118,0.10986454357680346,-0.12434799494462755
f379,-0.007115220747777385,0.05733850040503723,-0.12409148227806609
f136,-0.005979592723807997,0.04820199589871412,-0.12405277772822963
f148,-0.006124964160050451,0.04976030332379954,-0.12308934069997066
f194,-0.006878289762452647,0.05609524307725766,-0.12261803602132723
f352,0.01172324721792265,0.09629701121335407,0.12174049695627469
f76,-0.00806973699993711,0.06631263736655892,-0.1216922762158736
f215,-0.007026769866712413,0.05819785310325298,-0.12073931055244622
f58,-0.006807385642022786,0.05644085675692882,-0.12061093376435601
f322,-0.007383604115872792,0.061268582373069175,-0.12051205731826606
f19,0.006608050989824022,0.055102650937762204,0.1199225387189148
f247,-0.0074714677835726485,0.06304051128419405,-0.11851849622071489
f10,-0.00956071661103343,0.08069108488793357,-0.11848539946460843
f224,-0.007200214561745042,0.060819587565760835,-0.11838642230343356
f8,-0.011297690122170937,0.09638897151656503,-0.1172093526087249
f265,0.008386415416116177,0.07192746659037319,0.11659543492505367
f34,-0.013169692757755055,0.11344208340583745,-0.1160917641976217
f86,-0.011243277539495163,0.09730597007129242,-0.11554559679947356
f241,0.007492514008872173,0.06485097278499923,0.11553431709295975
f305,-0.007363486495758331,0.06418267909992974,-0.11472698634196667
f271,-0.012682800281554295,0.11054790829034027,-0.11472672192925884
f7,-0.00911191667888502,0.07975256844739034,-0.11425231454925054
f3,0.005570089897278015,0.04886756923832949,0.11398333995863441
f349,0.01147111418568826,0.10222238114083351,0.11221723594671457
f320,0.007087294230794755,0.0634994362437029,0.11161190608804068
f251,0.006267046757947184,0.05665532382219062,0.11061706524607084
f296,-0.008573879278885215,0.07852614686995268,-0.10918501071030934
f146,-0.006710383931494487,0.06232977924218394,-0.10765933934769334
f66,0.005326812978314237,0.049987467797024905,0.10656294762348005
f25,0.008902935456549252,0.08477797388035263,0.10501471076634691
f292,-0.008138848303676628,0.07754143384300491,-0.1049612684560663
f214,-0.005399374931913121,0.05181620172457156,-0.10420242530684087
f32,-0.007679537138440311,0.07389383347319879,-0.10392661658241759
f274,0.005726770258753183,0.05539409961058981,0.10338229640319706
f202,0.006746296852432033,0.06573853993639774,0.10262314667663186
f87,-0.0052281126749740905,0.05099411385991609,-0.10252382586934974
f45,-0.007314534429319638,0.07138991421377003,-0.10245891853613673
f170,-0.010168199667212257,0.09970058440336192,-0.10198735251341073
